Drug1,Drug2,Severity,Type,Mechanism,Clinical Effect,Recommendation,Monitoring,Dose Dependence,Alternative,Reference
Warfarin,Azithromycin,Moderate,Pharmacokinetic,May alter anticoagulant response,Increased INR and bleeding risk,Monitor INR during and after therapy,INR and bleeding signs,Yes,Select antibiotic based on infection and interaction profile,Warfarin prescribing information
Ciprofloxacin,Calcium,Moderate,Pharmacokinetic,Calcium can chelate ciprofloxacin in the gastrointestinal tract,Reduced ciprofloxacin absorption,Separate administration according to product instructions,Clinical response,Yes,Use appropriate timing or alternative antibiotic,Ciprofloxacin prescribing information
Doxycycline,Calcium,Moderate,Pharmacokinetic,Chelation reduces gastrointestinal absorption,Reduced antibiotic exposure and efficacy,Separate administration by several hours,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Levofloxacin,Calcium,Moderate,Pharmacokinetic,Chelation reduces gastrointestinal absorption,Reduced fluoroquinolone exposure,Separate administration according to product instructions,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Cephalexin,Moderate,Pharmacodynamic,Antibiotic therapy may alter anticoagulant response,Possible INR elevation,Monitor INR when clinically appropriate,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Metformin,Cimetidine,Moderate,Pharmacokinetic,Reduced renal tubular secretion may increase metformin exposure,Increased metformin concentration and adverse effects,Consider alternative or monitor closely,Renal function and clinical status,Yes,Use alternative acid-suppressing therapy when appropriate,Metformin prescribing information
Ciprofloxacin,Theophylline,Major,Pharmacokinetic,Reduced theophylline clearance,Theophylline toxicity,Avoid or monitor theophylline closely,Theophylline concentration and adverse effects,Yes,Consider alternative antibiotic,Ciprofloxacin prescribing information
Ciprofloxacin,Warfarin,Moderate,Pharmacokinetic,May enhance anticoagulant effect,Increased INR and bleeding risk,Monitor INR closely,INR,Yes,Choose alternative antibiotic when appropriate,Warfarin prescribing information
Dabigatran,Clarithromycin,Major,Pharmacokinetic,P-gp inhibition increases dabigatran exposure,Increased bleeding risk,Assess renal function and interaction risk,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Digoxin,Clarithromycin,Major,Pharmacokinetic,May increase digoxin exposure,Digoxin toxicity,Monitor digoxin concentration and clinical status,Digoxin level and ECG,Yes,Consider alternative antibiotic,Digoxin prescribing information
Clarithromycin,Midazolam,Major,Pharmacokinetic,CYP3A4 inhibition increases midazolam exposure,Prolonged and excessive sedation,Use alternative or carefully monitor,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Rivaroxaban,Clarithromycin,Major,Pharmacokinetic,Strong CYP3A4 and P-gp inhibition increases rivaroxaban exposure,Increased bleeding risk,Avoid or follow product-specific recommendations,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Simvastatin,Clarithromycin,Major,Pharmacokinetic,CYP3A4 inhibition increases simvastatin exposure,Myopathy and rhabdomyolysis risk,Contraindicated/avoid combination according to labeling,Muscle symptoms and CK when indicated,Yes,Use non-interacting statin or antibiotic,Simvastatin prescribing information
Theophylline,Clarithromycin,Major,Pharmacokinetic,Reduced theophylline clearance,Increased theophylline exposure and toxicity,Monitor theophylline concentration and adverse effects,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Clarithromycin,Major,Pharmacokinetic,Can increase anticoagulant effect,Increased INR and bleeding risk,Monitor closely or avoid when appropriate,INR and bleeding signs,Yes,Choose suitable alternative antibiotic,Warfarin prescribing information
Clopidogrel,Ibuprofen,Moderate,Pharmacodynamic,Additive platelet and GI effects,Increased bleeding risk,Avoid unnecessary NSAID use,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Clopidogrel,Omeprazole,Moderate,Pharmacokinetic,Omeprazole inhibits CYP2C19 needed for clopidogrel activation,Potential reduction in antiplatelet effect,Avoid routine combination when alternatives are available,Clinical cardiovascular status,Yes,Consider pantoprazole when clinically appropriate,Clopidogrel prescribing information
Clopidogrel,Pantoprazole,Minor,Pharmacokinetic,Less clinically significant CYP2C19 inhibition than omeprazole,Lower expected interaction potential,Generally preferred PPI when PPI therapy is required,Clinical response,No clinically important dose interaction expected,Continue if appropriate,Clopidogrel prescribing information
Rivaroxaban,Clopidogrel,Major,Pharmacodynamic,Additive antiplatelet and anticoagulant effects,Increased bleeding risk,Use only when clinically indicated,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Clopidogrel,Major,Pharmacodynamic,Additive antithrombotic effects,Increased bleeding risk,Avoid unless combination is clinically necessary,INR and bleeding signs,Yes,Review antithrombotic strategy,Warfarin prescribing information
Dabigatran,Ibuprofen,Major,Pharmacodynamic,NSAID effects combined with anticoagulation,Increased bleeding risk,Avoid routine NSAID use,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Dexamethasone,Warfarin,Moderate,Pharmacodynamic,May alter anticoagulant response,Changes in INR,Monitor INR closely when initiating or stopping,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lithium,Diclofenac,Major,Pharmacokinetic,NSAID-related reduction in renal lithium clearance,Increased lithium toxicity risk,Monitor lithium and renal function,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Diclofenac,Major,Pharmacodynamic,NSAID effects combined with anticoagulation,Increased GI and systemic bleeding risk,Avoid combination when possible,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Digoxin,Furosemide,Moderate,Pharmacodynamic,Diuretic-induced electrolyte disturbances can increase digoxin toxicity,Arrhythmias and digoxin toxicity,"Monitor potassium, magnesium and digoxin status",Electrolytes and ECG,Yes,Correct electrolyte abnormalities,Digoxin prescribing information
Digoxin,Spironolactone,Moderate,Pharmacokinetic,May alter digoxin clearance and measurement,Altered digoxin exposure and toxicity risk,Monitor digoxin concentration and clinical response,Digoxin level and renal function,Yes,Individualize therapy,Digoxin prescribing information
Digoxin,Verapamil,Major,Pharmacokinetic,Reduced digoxin clearance and altered distribution,Increased digoxin concentration and toxicity,Monitor digoxin concentration and clinical response,Digoxin level and ECG,Yes,Adjust digoxin or select alternative when appropriate,Digoxin prescribing information
Warfarin,Fluconazole,Major,Pharmacokinetic,Inhibition of warfarin metabolism,Increased anticoagulant effect and bleeding risk,Avoid or use intensive INR monitoring,INR,Yes,Use alternative antifungal when appropriate,Warfarin prescribing information
Ibuprofen,Furosemide,Moderate,Pharmacodynamic,NSAID reduces renal prostaglandin synthesis,Reduced diuretic effect and fluid retention,Monitor BP weight and renal function,BP and renal function,Yes,Consider non-NSAID analgesic,Loop diuretic prescribing information
Lithium,Furosemide,Moderate,Pharmacokinetic,Changes in renal sodium handling can alter lithium clearance,Lithium toxicity risk,Monitor lithium and renal function after changes,Serum lithium and renal function,Yes,Individualize diuretic therapy,Lithium prescribing information
Insulin,Glimepiride,Major,Pharmacodynamic,Additive glucose-lowering effects,Severe hypoglycemia,Monitor glucose closely and adjust doses as needed,Blood glucose and hypoglycemia symptoms,Yes,Individualize antidiabetic regimen,Antidiabetic prescribing information
Metformin,Glimepiride,Moderate,Pharmacodynamic,Additive glucose-lowering effects,Hypoglycemia risk,Monitor glucose and adjust sulfonylurea as needed,Blood glucose,Yes,Individualize therapy,Metformin prescribing information
Glimepiride,Sitagliptin,Moderate,Pharmacodynamic,Additive glucose-lowering effects,Hypoglycemia risk,Monitor blood glucose,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Glimepiride,Vildagliptin,Moderate,Pharmacodynamic,Additive glucose-lowering effects,Hypoglycemia risk,Monitor blood glucose,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Hydrochlorothiazide,Ibuprofen,Moderate,Pharmacodynamic,NSAID may reduce diuretic and antihypertensive effects,Reduced BP control and renal impairment risk,Monitor BP and renal function,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lithium,Hydrochlorothiazide,Major,Pharmacokinetic,Thiazide reduces renal lithium clearance,Increased lithium concentration and toxicity,Monitor lithium closely and adjust dose when initiating or stopping,Serum lithium and renal function,Yes,Consider alternative diuretic strategy,Lithium prescribing information
Ibuprofen,Lisinopril,Moderate,Pharmacodynamic,NSAID reduces renal prostaglandins and may blunt antihypertensive effect,Reduced blood-pressure control and renal impairment risk,Avoid prolonged NSAID use when possible; monitor BP and renal function,BP and renal function,Yes,Consider non-NSAID analgesic,ACE inhibitor prescribing information
Ibuprofen,Lithium,Major,Pharmacokinetic,NSAIDs can reduce renal lithium clearance,Increased lithium concentration and toxicity,Avoid when possible or monitor lithium closely,Lithium level and renal function,Yes,Consider non-NSAID analgesic,Lithium prescribing information
Ibuprofen,Losartan,Moderate,Pharmacodynamic,NSAID may reduce antihypertensive effect and renal perfusion,Reduced BP control and renal impairment risk,Use cautiously and monitor BP and renal function,BP and renal function,Yes,Consider alternative analgesic,ARB prescribing information
Ibuprofen,Methotrexate,Major,Pharmacokinetic,NSAIDs may reduce methotrexate renal clearance,Increased methotrexate toxicity,Combination requires indication-specific specialist monitoring,CBC and renal function,Yes,Consider alternative analgesic,Methotrexate prescribing information
Paracetamol,Ibuprofen,Minor,Pharmacodynamic,Different analgesic mechanisms,Additional analgesic effect,Combination may be used when clinically appropriate within recommended doses,Total daily doses and adverse effects,Yes,Use recommended doses and avoid duplicate analgesics,Product labeling
Prednisolone,Ibuprofen,Moderate,Pharmacodynamic,Combined GI mucosal injury,Increased GI ulceration and bleeding risk,Use cautiously and monitor GI symptoms,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Ibuprofen,Ramipril,Moderate,Pharmacodynamic,NSAID may reduce ACE-inhibitor effect and renal perfusion,Reduced antihypertensive effect and renal impairment risk,Monitor BP and renal function,BP and renal function,Yes,Consider alternative analgesic,ACE inhibitor prescribing information
Rivaroxaban,Ibuprofen,Major,Pharmacodynamic,NSAID effects combined with anticoagulation,Increased bleeding risk,Avoid routine NSAID use,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Ibuprofen,Spironolactone,Moderate,Pharmacodynamic,NSAID may reduce renal perfusion and diuretic response,Renal impairment and potassium abnormalities,Use cautiously and monitor renal function and potassium,Renal function and potassium,Yes,Consider alternative analgesic,Spironolactone prescribing information
Warfarin,Ibuprofen,Major,Pharmacodynamic,NSAID-related platelet and gastrointestinal effects added to anticoagulation,Increased gastrointestinal bleeding risk,Avoid routine NSAID use,INR and bleeding signs,Yes,Consider non-NSAID analgesic,Warfarin prescribing information
Linezolid,Insulin,Moderate,Pharmacodynamic,Linezolid may alter glucose regulation in patients receiving antidiabetic therapy,Hypoglycemia risk,Monitor blood glucose closely,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Metformin,Insulin,Moderate,Pharmacodynamic,Additive glucose-lowering effects,Hypoglycemia risk,Monitor blood glucose and adjust therapy if required,Blood glucose,Yes,Individualize antidiabetic regimen,Metformin prescribing information
Insulin,Sitagliptin,Moderate,Pharmacodynamic,Additive glucose-lowering effects,Hypoglycemia risk,Monitor glucose and consider insulin dose adjustment,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Insulin,Vildagliptin,Moderate,Pharmacodynamic,Additive glucose-lowering effects,Hypoglycemia risk,Monitor glucose and adjust therapy,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Linezolid,Serotonergic Drugs,Major,Pharmacodynamic,Monoamine oxidase inhibition can increase serotonergic activity,Serotonin syndrome risk,Review serotonergic therapy and monitor closely,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lithium,Lisinopril,Major,Pharmacokinetic,ACE inhibition may reduce renal lithium clearance,Increased lithium concentration and toxicity,Monitor lithium closely after ACE inhibitor changes,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lisinopril,Losartan,Major,Pharmacodynamic,Dual renin-angiotensin system blockade,Hyperkalemia hypotension and renal dysfunction,Avoid routine combination,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lisinopril,Spironolactone,Major,Pharmacodynamic,Additive potassium-retaining effects,Hyperkalemia,Monitor potassium and renal function,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Trimethoprim-sulfamethoxazole,Lisinopril,Major,Pharmacodynamic,Trimethoprim plus ACE inhibition increases potassium,Hyperkalemia and possible sudden deterioration,Monitor potassium and renal function,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lithium,Losartan,Major,Pharmacokinetic,ARB therapy may increase lithium exposure,Increased lithium toxicity risk,Monitor lithium concentration and renal function,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Metronidazole,Lithium,Major,Pharmacokinetic,May reduce lithium clearance,Increased lithium concentration and toxicity,Monitor lithium closely,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lithium,Naproxen,Major,Pharmacokinetic,NSAID-related reduction in lithium clearance,Increased lithium concentration,Monitor lithium concentration closely,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Lithium,NSAIDs,Major,Pharmacokinetic,NSAIDs may reduce renal lithium clearance,Increased lithium concentration and toxicity,Avoid routine use or monitor lithium closely,Serum lithium and renal function,Yes,Use non-NSAID analgesic,Lithium prescribing information
Lithium,Ramipril,Major,Pharmacokinetic,ACE inhibition may reduce lithium clearance,Increased lithium concentration and toxicity,Monitor lithium and renal function,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Ramipril,Losartan,Major,Pharmacodynamic,Dual renin-angiotensin system blockade,Hyperkalemia hypotension and renal dysfunction,Avoid routine combination,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Losartan,Spironolactone,Major,Pharmacodynamic,Additive potassium-retaining effects,Hyperkalemia and renal impairment risk,Monitor potassium and renal function closely,Potassium and renal function,Yes,Individualize therapy,Spironolactone prescribing information
Trimethoprim-sulfamethoxazole,Losartan,Major,Pharmacodynamic,Trimethoprim plus ARB increases potassium,Hyperkalemia risk,Monitor potassium and renal function,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Metformin,Sitagliptin,Minor,Pharmacodynamic,Complementary glucose-lowering mechanisms,Additional glucose lowering,Generally used together when clinically appropriate,Blood glucose and renal function,Yes,Individualize therapy,Antidiabetic prescribing information
Metformin,Vildagliptin,Minor,Pharmacodynamic,Complementary glucose-lowering mechanisms,Additional glucose lowering,Use according to indication and product labeling,Blood glucose and clinical status,Yes,Individualize therapy,Antidiabetic prescribing information
Methotrexate,NSAIDs,Major,Pharmacokinetic,Potential reduction in methotrexate clearance,Increased methotrexate toxicity,Use only with appropriate clinical monitoring,CBC and renal function,Yes,Consider alternative analgesic,Methotrexate prescribing information
Methotrexate,Omeprazole,Moderate,Pharmacokinetic,PPI therapy may reduce methotrexate clearance particularly at high doses,Potential methotrexate toxicity,Consider interaction according to methotrexate dose and monitor,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Methotrexate,Trimethoprim,Major,Pharmacodynamic,Additive antifolate and bone-marrow effects,Severe myelosuppression and toxicity,Avoid combination unless specifically justified,CBC and clinical toxicity,Yes,Consider alternative antibiotic,Methotrexate prescribing information
Methotrexate,Trimethoprim-sulfamethoxazole,Major,Pharmacodynamic,Additive antifolate and marrow-suppressive effects,Severe myelosuppression and toxicity,Avoid combination when possible,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Metronidazole,Major,Pharmacokinetic,Can increase warfarin effect,Marked INR elevation and bleeding risk,Avoid or closely monitor with dose adjustment,INR,Yes,Select alternative when appropriate,Warfarin prescribing information
Warfarin,Naproxen,Major,Pharmacodynamic,NSAID platelet and GI effects combined with anticoagulation,Increased bleeding risk,Avoid combination when possible,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Sildenafil,Nitroglycerin,Contraindicated,Pharmacodynamic,Additive nitric oxide-mediated vasodilation,Severe hypotension and cardiovascular compromise,Do not use together,Blood pressure and clinical status,Not simply dose dependent,Use alternative antianginal strategy,Sildenafil prescribing information
Warfarin,Paracetamol,Moderate,Pharmacodynamic,Repeated high-dose paracetamol may increase anticoagulant response,Elevated INR and bleeding risk,Use lowest effective dose and monitor INR with repeated use,INR,Yes,Use appropriate alternative when suitable,Warfarin prescribing information
Warfarin,Prednisolone,Moderate,Pharmacodynamic,Possible alteration of anticoagulant response,Changes in INR and bleeding risk,Monitor INR when starting or stopping corticosteroid,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Ramipril,Spironolactone,Major,Pharmacodynamic,Additive potassium retention,Hyperkalemia and renal impairment risk,Monitor potassium and renal function closely,Potassium and renal function,Yes,Individualize therapy,Spironolactone prescribing information
Warfarin,Rifampicin,Major,Pharmacokinetic,Enzyme induction increases warfarin metabolism,Reduced anticoagulant effect and thrombosis risk,Close INR monitoring and dose adjustment,INR,Yes,Consider alternative antimicrobial when appropriate,Warfarin prescribing information
Salbutamol,Theophylline,Moderate,Pharmacodynamic,Additive sympathomimetic and cardiac effects,Tachycardia tremor and hypokalemia,Monitor cardiovascular status and electrolytes,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Trimethoprim-sulfamethoxazole,Spironolactone,Major,Pharmacodynamic,Trimethoprim reduces renal potassium excretion and spironolactone retains potassium,Severe hyperkalemia risk,Use cautiously and monitor potassium closely,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Trimethoprim,Major,Pharmacokinetic,Can increase anticoagulant response,Increased INR and bleeding risk,Monitor INR closely,INR and bleeding signs,Yes,Consider alternative antibiotic,Warfarin prescribing information
Warfarin,Trimethoprim-sulfamethoxazole,Major,Pharmacokinetic/Pharmacodynamic,Altered warfarin metabolism and reduced vitamin K activity,Marked INR elevation and bleeding risk,Avoid when alternatives exist or monitor INR very closely,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Amiodarone,Major,Pharmacokinetic,Amiodarone can inhibit warfarin metabolism and increase anticoagulant response,Marked INR elevation and bleeding risk,Monitor INR closely and adjust warfarin as appropriate,INR and bleeding signs,Yes,Use an alternative antiarrhythmic when clinically appropriate,FDA/approved product labeling
Warfarin,Phenytoin,Major,Pharmacokinetic/Pharmacodynamic,Bidirectional effects can alter both phenytoin exposure and anticoagulation,Changes in INR and phenytoin toxicity or loss of control,Monitor INR and phenytoin response closely,INR and phenytoin level when indicated,Yes,Consider alternative anticonvulsant when appropriate,FDA/approved product labeling
Warfarin,Carbamazepine,Major,Pharmacokinetic,CYP induction can increase warfarin metabolism,Reduced anticoagulant effect and thrombosis risk,Monitor INR closely and adjust warfarin,INR,Yes,Consider alternative anticonvulsant,FDA/approved product labeling
