Drug,Generic Name,Therapeutic Class,Pharmacological Class,Indication,Route,Mechanism,Renal Impairment,Hepatic Impairment,Geriatric Considerations,Pediatric Considerations,Pregnancy,Lactation,Common Adverse Effects
Clarithromycin,Clarithromycin,Antibiotic,Macrolide,Bacterial infections,Oral/IV,Inhibits bacterial protein synthesis,Use cautiously in renal impairment; dose reduction may be required,Caution in hepatic impairment,Monitor QT and drug interactions,Age-specific formulations available,Use only when benefits outweigh risks,Generally compatible with caution,Nausea diarrhea QT prolongation
Sildenafil,Sildenafil,PDE5 inhibitor,Phosphodiesterase-5 inhibitor,Erectile dysfunction and pulmonary hypertension,Oral,Inhibits PDE5 and increases cGMP,Lower exposure considerations in severe renal impairment,Lower starting dose may be appropriate in hepatic impairment,Start cautiously,Not routinely indicated for children except pulmonary hypertension,Not indicated for routine pregnancy use,Limited lactation data,Headache flushing hypotension visual disturbance
Nitroglycerin,Nitroglycerin,Antianginal,Nitrate,Angina pectoris,Sublingual/Topical/IV,Releases nitric oxide causing vasodilation,Use cautiously if renal dysfunction contributes to hypotension,Generally no major adjustment,Increased hypotension susceptibility,Specialist use,Use when clinically indicated,Limited systemic exposure depending formulation,Headache hypotension flushing
Lithium,Lithium,Mood stabilizer,Antimanic agent,Bipolar disorder,Oral,Modifies intracellular signaling and neurotransmission,Renally eliminated; dose adjustment and serum monitoring essential,Avoid or use cautiously in significant hepatic disease,Older adults require lower doses and close monitoring,Specialist pediatric use,Generally avoided during pregnancy unless benefits outweigh risks,Present in breast milk; specialist monitoring required,Tremor thirst polyuria toxicity
Hydrochlorothiazide,Hydrochlorothiazide,Antihypertensive,Thiazide diuretic,Hypertension and edema,Oral,Inhibits sodium/chloride reabsorption in distal tubule,Reduced efficacy in severe renal impairment,Generally no major hepatic adjustment,Monitor sodium potassium glucose and uric acid,Age-specific dosing,Use only when clinically indicated,Generally compatible with caution,Electrolyte disturbance dizziness photosensitivity
Methotrexate,Methotrexate,Antimetabolite,Dihydrofolate reductase inhibitor,Rheumatoid arthritis and cancer,Oral/Injection,Inhibits folate metabolism and DNA synthesis,Renal clearance is important; dose reduction may be required,Hepatotoxicity requires careful monitoring,Greater toxicity risk,Specialist dosing,Contraindicated in pregnancy for many indications,Generally contraindicated during breastfeeding,Myelosuppression hepatotoxicity mucositis
Trimethoprim,Trimethoprim,Antibiotic,Dihydrofolate reductase inhibitor,Urinary tract infections,Oral,Inhibits bacterial folate synthesis,Dose adjustment may be required,Use cautiously in hepatic disease,Monitor potassium and renal function,Specialist dosing,Use requires pregnancy risk assessment,Generally compatible depending indication,Nausea rash hyperkalemia
Azithromycin,Azithromycin,Antibiotic,Macrolide,Bacterial infections,Oral/IV,Inhibits bacterial 50S ribosome,Usually no adjustment in mild renal impairment,Caution in severe hepatic disease,Monitor QT risk,Age-specific dosing available,Generally used when indicated,Generally compatible with caution,Diarrhea nausea QT prolongation
Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Antibiotic,Penicillin plus beta-lactamase inhibitor,Bacterial infections,Oral/IV,Inhibits bacterial cell wall synthesis and beta-lactamases,Renal dose adjustment may be required,Avoid or use cautiously in significant hepatic dysfunction,Monitor liver effects,Age-specific pediatric dosing available,Generally considered acceptable when indicated,Generally compatible,Diarrhea nausea rash hepatic injury
Furosemide,Furosemide,Diuretic,Loop diuretic,Edema and hypertension,Oral/IV,Inhibits Na/K/2Cl cotransporter,Renal function affects response and dosing,Monitor hepatic disease and volume status,High risk of dehydration and electrolyte imbalance,Age-specific dosing,Use when clinically indicated,Generally compatible with monitoring,Dehydration hypokalemia hypotension
Spironolactone,Spironolactone,Diuretic,Aldosterone antagonist,Heart failure edema and hypertension,Oral,Blocks aldosterone receptors,Hyperkalemia risk increases with renal impairment,Caution in hepatic impairment,Monitor potassium and renal function,Specialist dosing,Use only when benefits justify risk,Limited data; specialist advice required,Hyperkalemia gynecomastia dizziness
Pantoprazole,Pantoprazole,Antiulcer,PPI,GERD and peptic ulcer disease,Oral/IV,Suppresses gastric proton pump,Usually no adjustment,Lower exposure or dosing may be considered in hepatic impairment,Monitor long-term nutrient effects,Age-specific dosing available,Generally considered compatible,Compatible with caution,Headache diarrhea abdominal pain
Telmisartan,Telmisartan,Antihypertensive,Angiotensin II receptor blocker,Hypertension,Oral,Blocks AT1 receptors,Monitor renal function and potassium,Caution in significant hepatic impairment,Monitor hypotension renal function and potassium,Specialist pediatric use,Contraindicated in pregnancy,Generally not preferred during breastfeeding,Hyperkalemia hypotension dizziness
Atorvastatin,Atorvastatin,Lipid-lowering agent,Statin,Hyperlipidemia,Oral,Inhibits HMG-CoA reductase,Use cautiously in severe renal impairment,Avoid in active liver disease,Monitor myopathy and liver effects,Used in selected pediatric dyslipidemia,Contraindicated in pregnancy,Contraindicated during breastfeeding,Myalgia liver enzyme elevation
Rosuvastatin,Rosuvastatin,Lipid-lowering agent,Statin,Hyperlipidemia,Oral,Inhibits HMG-CoA reductase,Lower starting dose may be needed in severe renal impairment,Avoid in active liver disease,Monitor muscle symptoms,Selected pediatric use,Contraindicated in pregnancy,Contraindicated during breastfeeding,Myalgia headache
Amlodipine,Amlodipine,Antihypertensive,Calcium channel blocker,Hypertension and angina,Oral,Blocks L-type calcium channels,Usually no adjustment,Use cautiously in hepatic impairment,Start low and titrate carefully,Used in pediatric hypertension,Use when clinically indicated,Generally compatible with caution,Ankle edema flushing dizziness
Losartan,Losartan,Antihypertensive,Angiotensin II receptor blocker,Hypertension,Oral,Blocks AT1 receptors,Monitor renal function and potassium,Caution in hepatic impairment,Monitor hypotension and potassium,Used in selected pediatric hypertension,Contraindicated in pregnancy,Generally avoided during breastfeeding,Hyperkalemia dizziness hypotension
Ramipril,Ramipril,Antihypertensive,ACE inhibitor,Hypertension and cardiovascular disease,Oral,Inhibits angiotensin II formation,Renal function and potassium monitoring required,Caution in hepatic impairment,Start low in older adults,Selected pediatric specialist use,Contraindicated in pregnancy,Generally avoided during breastfeeding,Cough hyperkalemia hypotension
Atenolol,Atenolol,Beta blocker,Selective beta-1 blocker,Hypertension and angina,Oral,Blocks beta-1 adrenergic receptors,Renally eliminated; dose adjustment may be required,Caution in hepatic disease,Bradycardia and hypotension risk,Specialist pediatric dosing,Use only when clinically indicated,Generally compatible with monitoring,Bradycardia fatigue cold extremities
Metoprolol,Metoprolol,Beta blocker,Selective beta-1 blocker,Hypertension heart failure and angina,Oral/IV,Blocks beta-1 adrenergic receptors,Usually no major adjustment,Use cautiously in hepatic impairment,Start low and monitor heart rate,Used in selected pediatric cases,Can be used when clinically indicated,Generally compatible,Bradycardia fatigue hypotension
Propranolol,Propranolol,Beta blocker,Nonselective beta blocker,Hypertension arrhythmias migraine and tremor,Oral/IV,Blocks beta-1 and beta-2 receptors,Caution in renal impairment,Extensive hepatic metabolism; caution required,Greater risk of bradycardia and hypoglycemia,Used in selected pediatric conditions,Use when clearly indicated,Generally compatible,Bradycardia fatigue bronchospasm
Bisoprolol,Bisoprolol,Beta blocker,Selective beta-1 blocker,Hypertension and heart failure,Oral,Blocks beta-1 receptors,Lower doses may be required in severe renal impairment,Caution in hepatic impairment,Start low,Selected pediatric use under specialist care,Use when clearly indicated,Generally compatible,Bradycardia fatigue hypotension
Nifedipine,Nifedipine,Antihypertensive,Calcium channel blocker,Hypertension and angina,Oral,Blocks L-type calcium channels,Usually no adjustment,Caution in hepatic impairment,Monitor hypotension and edema,Specialist pediatric use,Use when indicated,Generally compatible,Headache flushing edema
Diltiazem,Diltiazem,Cardiovascular agent,Calcium channel blocker,Hypertension angina and arrhythmias,Oral/IV,Blocks L-type calcium channels,Use cautiously,Lower doses may be required in hepatic impairment,Monitor heart rate and conduction,Specialist pediatric use,Use only when clearly indicated,Generally compatible with monitoring,Bradycardia constipation edema
Enalapril,Enalapril,Antihypertensive,ACE inhibitor,Hypertension and heart failure,Oral/IV,Inhibits angiotensin II formation,Monitor renal function and potassium,Caution in hepatic impairment,Start low and monitor blood pressure,Used in pediatric hypertension and heart failure,Contraindicated in pregnancy,Generally avoided during breastfeeding,Cough hyperkalemia hypotension
Perindopril,Perindopril,Antihypertensive,ACE inhibitor,Hypertension and cardiovascular disease,Oral,Inhibits angiotensin II formation,Renal adjustment may be required,Caution in hepatic impairment,Start low in older adults,Limited pediatric use,Contraindicated in pregnancy,Generally avoided during breastfeeding,Cough dizziness hyperkalemia
Captopril,Captopril,Antihypertensive,ACE inhibitor,Hypertension and heart failure,Oral,Inhibits angiotensin II formation,Reduce dose or extend interval in renal impairment,Caution in hepatic impairment,Monitor renal function and potassium,Used in selected pediatric patients,Contraindicated in pregnancy,Generally avoided during breastfeeding,Cough rash hyperkalemia
Olmesartan,Olmesartan,Antihypertensive,Angiotensin II receptor blocker,Hypertension,Oral,Blocks AT1 receptors,Monitor renal function and potassium,Caution in hepatic impairment,Monitor hypotension,Used in selected pediatric patients,Contraindicated in pregnancy,Generally avoided during breastfeeding,Dizziness hyperkalemia
Valsartan,Valsartan,Antihypertensive,Angiotensin II receptor blocker,Hypertension and heart failure,Oral,Blocks AT1 receptors,Monitor renal function and potassium,Caution in hepatic impairment,Start low in vulnerable older adults,Used in selected pediatric patients,Contraindicated in pregnancy,Generally avoided during breastfeeding,Dizziness hyperkalemia
Irbesartan,Irbesartan,Antihypertensive,Angiotensin II receptor blocker,Hypertension,Oral,Blocks AT1 receptors,Monitor renal function and potassium,Caution in hepatic impairment,Monitor blood pressure and electrolytes,Limited pediatric use,Contraindicated in pregnancy,Generally avoided during breastfeeding,Dizziness hyperkalemia
Candesartan,Candesartan,Antihypertensive,Angiotensin II receptor blocker,Hypertension and heart failure,Oral,Blocks AT1 receptors,Monitor renal function and potassium,Caution in hepatic impairment,Start cautiously,Used in selected pediatric patients,Contraindicated in pregnancy,Generally avoided during breastfeeding,Dizziness hyperkalemia
Chlorthalidone,Chlorthalidone,Antihypertensive,Thiazide-like diuretic,Hypertension,Oral,Inhibits sodium chloride reabsorption,Reduced efficacy in severe renal impairment,Caution in hepatic impairment,Monitor sodium potassium and dehydration,Limited pediatric use,Use when indicated,Generally compatible with caution,Electrolyte imbalance dizziness
Indapamide,Indapamide,Antihypertensive,Thiazide-like diuretic,Hypertension,Oral,Reduces sodium reabsorption,Use cautiously in renal impairment,Caution in hepatic impairment,Monitor electrolytes and volume,Limited pediatric use,Use only when indicated,Limited data,Hyponatremia hypokalemia dizziness
Torsemide,Torsemide,Diuretic,Loop diuretic,Edema and hypertension,Oral/IV,Inhibits Na/K/2Cl cotransporter,Response varies with renal function,Use cautiously in hepatic disease,Monitor volume and electrolytes,Specialist pediatric use,Use when clinically indicated,Compatible with monitoring,Dehydration hypokalemia hypotension
Amiloride,Amiloride,Diuretic,Potassium-sparing diuretic,Hypertension and edema,Oral,Blocks epithelial sodium channels,Contraindicated or high risk in significant renal impairment,Caution in hepatic disease,High hyperkalemia risk,Limited pediatric use,Use only when indicated,Limited data,Hyperkalemia nausea
Eplerenone,Eplerenone,Cardiovascular agent,Aldosterone antagonist,Heart failure and hypertension,Oral,Selectively blocks aldosterone receptors,Contraindicated or restricted in significant renal impairment,Caution in hepatic impairment,Monitor potassium closely,Limited pediatric use,Use only when clearly indicated,Limited data,Hyperkalemia dizziness
Clonidine,Clonidine,Antihypertensive,Central alpha-2 agonist,Hypertension,Oral/Patch,Reduces sympathetic outflow,Lower doses may be needed,Use cautiously in hepatic impairment,Greater sedation and orthostatic hypotension risk,Specialist pediatric use,Use only when indicated,Compatible with monitoring,Sedation dry mouth hypotension
Methyldopa,Methyldopa,Antihypertensive,Central alpha-2 agonist,Hypertension,Oral/Injection,Reduces central sympathetic activity,Use cautiously,Contraindicated or avoided in significant active liver disease,Monitor sedation and liver function,Used in selected pediatric patients,Long history of use in pregnancy,Generally compatible,Sedation hepatotoxicity hemolytic anemia
Doxazosin,Doxazosin,Antihypertensive/Urinary agent,Alpha-1 blocker,Hypertension and benign prostatic hyperplasia,Oral,Blocks alpha-1 receptors,Use cautiously in renal impairment,Hepatic metabolism; caution required,High orthostatic hypotension risk,Not routinely used in children,Use only when indicated,Limited data,Dizziness postural hypotension
Prazosin,Prazosin,Antihypertensive,Alpha-1 blocker,Hypertension,Oral,Blocks alpha-1 receptors,Use cautiously,Use cautiously in hepatic disease,High first-dose hypotension risk,Specialist pediatric use,Use when benefits outweigh risks,Limited data,Dizziness syncope
Hydralazine,Hydralazine,Antihypertensive,Vasodilator,Severe hypertension,Oral/Injection,Direct arteriolar vasodilation,Use cautiously,Use cautiously in hepatic impairment,Start low and monitor,Specialist pediatric use,Can be used in selected pregnancy situations,Limited data,Headache tachycardia lupus-like syndrome
Minoxidil,Minoxidil,Antihypertensive,Vasodilator,Severe resistant hypertension,Oral/Topical,Direct arteriolar vasodilation,Use cautiously,Use cautiously,Fluid retention and tachycardia risk,Topical pediatric use requires caution,Oral use only when essential,Limited topical data,Edema tachycardia hypertrichosis
Isosorbide Mononitrate,Isosorbide Mononitrate,Antianginal,Nitrate,Angina prevention,Oral,Releases nitric oxide causing vasodilation,Usually no major adjustment,Caution in hepatic impairment,Orthostatic hypotension risk,Limited pediatric use,Use when indicated,Limited data,Headache hypotension flushing
Isosorbide Dinitrate,Isosorbide Dinitrate,Antianginal,Nitrate,Angina and heart failure,Oral/Sublingual,Releases nitric oxide,Usually no major adjustment,Caution in hepatic disease,Orthostatic hypotension risk,Specialist pediatric use,Use when indicated,Limited data,Headache hypotension
Ivabradine,Ivabradine,Antianginal/Heart failure agent,If-channel inhibitor,Chronic heart failure and selected angina,Oral,Reduces sinoatrial node firing,Use cautiously in renal impairment,Caution in hepatic impairment,Monitor heart rate and rhythm,Not routinely established in young children,Use only when indicated,Limited data,Bradycardia visual phenomena
Ranolazine,Ranolazine,Antianginal,Antianginal agent,Chronic angina,Oral,Inhibits late sodium current,Use cautiously in renal impairment,Avoid significant hepatic impairment,QT and drug interaction concerns,Not established for routine pediatric use,Use only when indicated,Limited data,Dizziness constipation QT prolongation
Amiodarone,Amiodarone,Antiarrhythmic,Class III antiarrhythmic,Cardiac arrhythmias,Oral/IV,Blocks potassium sodium and calcium channels and beta receptors,Usually no renal adjustment,Extensive hepatic metabolism; monitor liver function,High toxicity risk and multiple interactions,Specialist pediatric use,Use only when benefits clearly outweigh risks,Present in breast milk; specialist advice required,Thyroid dysfunction pulmonary toxicity liver injury
Enoxaparin,Enoxaparin,Anticoagulant,Low molecular weight heparin,Prevention and treatment of thromboembolism,Injection,Potentiates antithrombin activity against factor Xa and IIa,Renal dose adjustment may be required in severe impairment,Use cautiously in significant hepatic disease,Increased bleeding risk and altered pharmacokinetics,Specialist pediatric dosing,Use when clearly indicated,Limited data; specialist advice,Bleeding thrombocytopenia injection-site reactions
Apixaban,Apixaban,Anticoagulant,Direct factor Xa inhibitor,Prevention and treatment of thromboembolism,Oral,Directly inhibits factor Xa,Renal function affects exposure and dosing,Use cautiously in hepatic impairment,Assess renal function and bleeding risk,Limited pediatric use,Generally avoided unless specifically indicated,Limited lactation data,Bleeding anemia nausea
Rivaroxaban,Rivaroxaban,Anticoagulant,Direct factor Xa inhibitor,Prevention and treatment of thromboembolism,Oral,Directly inhibits factor Xa,Renal impairment increases exposure and may require avoidance,Not recommended in significant hepatic disease with coagulopathy,Monitor renal function and bleeding,Limited pediatric indications,Use only when clearly indicated,Limited data,Bleeding anemia dizziness
Dabigatran,Dabigatran,Anticoagulant,Direct thrombin inhibitor,Prevention and treatment of thromboembolism,Oral,Directly inhibits thrombin,Predominantly renally eliminated; dose adjustment required,Use cautiously in hepatic impairment,Monitor renal function especially in older adults,Selected pediatric indications with specialist dosing,Use only when clearly indicated,Limited data,Bleeding dyspepsia anemia
Ticagrelor,Ticagrelor,Antiplatelet,P2Y12 inhibitor,Acute coronary syndrome and prevention of thrombosis,Oral,Reversibly inhibits platelet P2Y12 receptors,Use cautiously in severe renal impairment,Caution in hepatic impairment and avoid severe disease,Monitor bleeding and dyspnea,Not routinely used in children,Use only when indicated,Limited data,Bleeding dyspnea headache
Prasugrel,Prasugrel,Antiplatelet,P2Y12 inhibitor,Acute coronary syndrome with PCI,Oral,Irreversibly inhibits platelet P2Y12 receptors,Limited renal adjustment but bleeding risk remains,Use cautiously in hepatic impairment,Greater bleeding risk in older adults,Not routinely used in children,Use only when clearly indicated,Limited data,Bleeding headache hypertension
Dipyridamole,Dipyridamole,Antiplatelet,Vasodilator/antiplatelet,Prevention of thromboembolic events,Oral/Injection,Inhibits platelet aggregation and increases adenosine activity,Use cautiously,Use cautiously in hepatic impairment,Monitor hypotension,Specialist pediatric use,Use when indicated,Limited data,Headache dizziness GI upset
Cilostazol,Cilostazol,Antiplatelet,PDE3 inhibitor,Intermittent claudication,Oral,Inhibits platelet aggregation and causes vasodilation,Avoid in severe renal impairment,Avoid or use cautiously in hepatic impairment,Monitor cardiovascular status,Not routinely used in children,Not recommended in pregnancy unless essential,Limited data,Headache diarrhea palpitations
Alteplase,Alteplase,Thrombolytic,tPA,Acute ischemic stroke myocardial infarction and pulmonary embolism,Injection,Converts plasminogen to plasmin,Use cautiously with severe renal disease,Use cautiously in hepatic disease and bleeding disorders,High bleeding risk,Specialist pediatric use,Use only in emergency indications,Limited data,Major bleeding angioedema
Tranexamic Acid,Tranexamic Acid,Antifibrinolytic,Plasminogen inhibitor,Prevention and treatment of bleeding,Oral/Injection,Inhibits plasminogen activation and fibrinolysis,Renal dose adjustment required,Use cautiously in hepatic disease,Monitor thrombosis and renal function,Age-specific dosing required,Use when indicated,Compatible with caution,Nausea diarrhea headache
Pravastatin,Pravastatin,Lipid-lowering agent,Statin,Hyperlipidemia,Oral,Inhibits HMG-CoA reductase,Lower starting dose may be required,Use cautiously in hepatic impairment,Monitor muscle effects,Selected pediatric use,Contraindicated in pregnancy,Contraindicated during breastfeeding,Myalgia headache
Fenofibrate,Fenofibrate,Lipid-lowering agent,Fibrate,Hypertriglyceridemia,Oral,Activates PPAR-alpha,Reduce dose or avoid in severe renal impairment,Avoid significant hepatic disease,Monitor renal function and muscle symptoms,Not routinely used in children,Use only when clearly indicated,Limited data,Dyspepsia elevated liver enzymes myopathy
Gemfibrozil,Gemfibrozil,Lipid-lowering agent,Fibrate,Hypertriglyceridemia,Oral,Activates PPAR-alpha,Use cautiously in renal impairment,Avoid significant hepatic disease,Drug interaction and myopathy risk,Not routinely used in children,Use only when indicated,Limited data,Dyspepsia gallstones myopathy
Ezetimibe,Ezetimibe,Lipid-lowering agent,Cholesterol absorption inhibitor,Hypercholesterolemia,Oral,Inhibits intestinal cholesterol absorption,Usually no adjustment,Use cautiously in hepatic impairment,Monitor liver enzymes when combined with statins,Selected pediatric use,Use when clinically indicated,Limited data,Diarrhea abdominal pain
Flecainide,Flecainide,Antiarrhythmic,Class IC antiarrhythmic,Supraventricular and ventricular arrhythmias,Oral,Blocks fast sodium channels,Reduce dose in significant renal impairment,Use cautiously in hepatic impairment,Monitor ECG and conduction,Specialist pediatric use,Use only when clearly indicated,Limited data,Dizziness visual disturbance arrhythmias
Lidocaine,Lidocaine,Local anesthetic/Antiarrhythmic,Amide local anesthetic,Local anesthesia and ventricular arrhythmias,Topical/Injection,Blocks voltage-gated sodium channels,Use cautiously in severe renal impairment,Reduced clearance in hepatic impairment,Lower doses may be required,Used with age-specific dosing,Can be used when indicated,Generally compatible depending on route,Numbness dizziness CNS toxicity
Adenosine,Adenosine,Antiarrhythmic,Nucleoside,Paroxysmal supraventricular tachycardia,IV,Activates adenosine receptors and transiently slows AV conduction,No significant renal adjustment,No major hepatic adjustment,Transient adverse effects may be more concerning,Specialist pediatric emergency use,Can be used when indicated,Limited systemic exposure,Flushing chest discomfort dyspnea
Atropine,Atropine,Anticholinergic,Muscarinic antagonist,Bradycardia and premedication,Injection/Topical,Blocks muscarinic acetylcholine receptors,Use cautiously in renal impairment,Use cautiously in hepatic disease,Greater sensitivity to anticholinergic effects,Used with weight-based pediatric dosing,Use when clinically indicated,Compatible depending on indication,Dry mouth blurred vision tachycardia
Adrenaline,Adrenaline,Emergency cardiovascular agent,Alpha and beta adrenergic agonist,Anaphylaxis and cardiac arrest,Injection,Stimulates alpha and beta adrenergic receptors,Use cautiously in severe renal impairment,Use cautiously in hepatic impairment,Monitor cardiovascular response carefully,Weight-based pediatric emergency dosing,Recommended for anaphylaxis when indicated,Compatible in emergency use,Palpitations tremor hypertension
Noradrenaline,Norepinephrine,Vasopressor,Alpha and beta adrenergic agonist,Severe hypotension and septic shock,IV infusion,Stimulates alpha and beta adrenergic receptors,Monitor renal perfusion,Use cautiously in hepatic impairment,Requires close cardiovascular monitoring,Specialist pediatric intensive care use,Use only for serious indications,Limited data,Hypertension arrhythmias tissue ischemia
Dopamine,Dopamine,Vasopressor/Inotrope,Catecholamine,Shock and selected cardiac conditions,IV infusion,Stimulates dopamine and adrenergic receptors,Monitor renal perfusion and response,Use cautiously in hepatic disease,Requires intensive monitoring,Specialist pediatric use,Use only when clearly indicated,Limited data,Tachycardia arrhythmias nausea
Dobutamine,Dobutamine,Inotrope,Beta-1 agonist,Acute heart failure and cardiogenic shock,IV infusion,Stimulates beta-1 receptors to increase cardiac contractility,Monitor renal function and perfusion,Use cautiously in hepatic impairment,Continuous monitoring required,Specialist pediatric use,Use only when clearly indicated,Limited data,Tachycardia arrhythmias hypotension
Sotalol,Sotalol,Antiarrhythmic/Beta blocker,Class III antiarrhythmic,Arrhythmias,Oral,Blocks beta receptors and potassium channels,Renal dose adjustment required,Avoid or use cautiously in hepatic disease,QT prolongation and bradycardia risk,Specialist pediatric dosing,Use only when clearly indicated,Limited data,Bradycardia QT prolongation fatigue
Mannitol,Mannitol,Osmotic diuretic,Osmotic agent,Cerebral edema and raised intraocular pressure,IV,Increases plasma and tubular osmotic pressure,Avoid in severe renal failure or anuria,Use cautiously in hepatic disease,Monitor fluid and electrolyte status,Specialist pediatric use,Use only when indicated,Limited data,Fluid imbalance headache nausea
Acetazolamide,Acetazolamide,Diuretic/Antiglaucoma,Carbonic anhydrase inhibitor,Glaucoma edema and altitude sickness,Oral/IV,Inhibits carbonic anhydrase,Avoid severe renal impairment,Avoid severe hepatic disease especially with electrolyte disturbance,Monitor electrolytes and acid-base status,Age-specific dosing,Use only when indicated,Limited data,Paraesthesia metabolic acidosis nausea
Triamterene,Triamterene,Diuretic,Potassium-sparing diuretic,Edema and hypertension,Oral,Blocks epithelial sodium channels,Avoid significant renal impairment,Caution in hepatic disease,Hyperkalemia risk,Limited pediatric use,Use only when indicated,Limited data,Hyperkalemia nausea dizziness
Bumetanide,Bumetanide,Diuretic,Loop diuretic,Edema,Oral/IV,Inhibits Na/K/2Cl cotransporter,Monitor response and renal function,Caution in hepatic impairment,Monitor electrolytes and volume,Specialist pediatric dosing,Use when indicated,Compatible with monitoring,Electrolyte disturbance dehydration
